Relative Path,Original Size,Scale,Has Alpha,File Type,ICC Profile,Lossless Size,Lossless No Alpha Size,lossy_q75_m0_a100,lossy_q75_m0_a80,lossy_q75_m0_no_alpha,lossy_q75_m4_a100,lossy_q75_m4_a80,lossy_q75_m4_no_alpha,lossy_q75_m6_a100,lossy_q75_m6_a80,lossy_q75_m6_no_alpha,lossy_q50_m0_a100,lossy_q50_m0_a80,lossy_q50_m0_no_alpha,lossy_q50_m4_a100,lossy_q50_m4_a80,lossy_q50_m4_no_alpha,lossy_q50_m6_a100,lossy_q50_m6_a80,lossy_q50_m6_no_alpha,lossy_q25_m0_a100,lossy_q25_m0_a80,lossy_q25_m0_no_alpha,lossy_q25_m4_a100,lossy_q25_m4_a80,lossy_q25_m4_no_alpha,lossy_q25_m6_a100,lossy_q25_m6_a80,lossy_q25_m6_no_alpha
images/news/20230801-smoke.png,965283,700x567,True,PNG,Unknown,683790,683790,79754,79754,79754,73570,73570,73570,69822,69822,69822,57740,57740,57740,52526,52526,52526,50202,50202,50202,38198,38198,38198,33388,33388,33388,32414,32414,32414
images/news/20190606-spectator-UI.png,242522,802x468,False,PNG,None,296480,N/A,N/A,N/A,93104,N/A,N/A,85960,N/A,N/A,80138,N/A,N/A,68736,N/A,N/A,60372,N/A,N/A,55704,N/A,N/A,47534,N/A,N/A,36196,N/A,N/A,32104
images/news/20151031-multiplayer.png,68031,600x440,True,PNG,None,66794,66794,37930,37930,37930,31914,31914,31914,30246,30246,30246,30018,30018,30018,23664,23664,23664,22156,22156,22156,21440,21440,21440,15996,15996,15996,14728,14728,14728
images/news/20210321-website.png,689368,1200x650,False,PNG,Unknown,404794,N/A,N/A,N/A,58506,N/A,N/A,49562,N/A,N/A,47770,N/A,N/A,51084,N/A,N/A,39822,N/A,N/A,38576,N/A,N/A,44824,N/A,N/A,30350,N/A,N/A,29114
images/news/20150830-new-ra-production-overlays.png,280486,600x300,False,PNG,None,201598,N/A,N/A,N/A,40736,N/A,N/A,34826,N/A,N/A,33032,N/A,N/A,32952,N/A,N/A,27538,N/A,N/A,25624,N/A,N/A,24608,N/A,N/A,19282,N/A,N/A,17980
images/news/20161223-new-logo-modchooser.png,103777,790x400,False,PNG,None,98280,N/A,N/A,N/A,32104,N/A,N/A,24974,N/A,N/A,23864,N/A,N/A,25912,N/A,N/A,19404,N/A,N/A,18150,N/A,N/A,19498,N/A,N/A,13344,N/A,N/A,12476
images/news/20130915-ra2voxels.png,97222,700x541,True,PNG,None,84430,84430,87898,87898,87898,75696,75696,75696,72260,72260,72260,67342,67342,67342,55326,55326,55326,50846,50846,50846,45946,45946,45946,32572,32572,32572,28502,28502,28502
images/news/20140722-techlevels.png,45423,600x300,False,PNG,None,46908,N/A,N/A,N/A,19420,N/A,N/A,15348,N/A,N/A,14840,N/A,N/A,16766,N/A,N/A,12516,N/A,N/A,12040,N/A,N/A,13268,N/A,N/A,9718,N/A,N/A,8976
images/news/20170722-launchers.png,57290,600x300,False,PNG,None,48172,N/A,N/A,N/A,14708,N/A,N/A,11334,N/A,N/A,11078,N/A,N/A,12492,N/A,N/A,9118,N/A,N/A,8874,N/A,N/A,9724,N/A,N/A,6568,N/A,N/A,6292
images/news/20170110-stats-most-popular-maps.png,47693,1199x599,False,PNG,None,27620,N/A,N/A,N/A,41062,N/A,N/A,27956,N/A,N/A,27672,N/A,N/A,38570,N/A,N/A,24648,N/A,N/A,24202,N/A,N/A,33354,N/A,N/A,19608,N/A,N/A,19134
